service_id,date,exception_type
平日,20251124,2
土日祝,20251124,1
平日,20251229,2
土日祝,20251229,1
平日,20251230,2
土日祝,20251230,1
平日,20251231,2
土日祝,20251231,1
平日,20260101,2
土日祝,20260101,1
平日,20260102,2
土日祝,20260102,1
平日,20260112,2
土日祝,20260112,1
平日,20260211,2
土日祝,20260211,1
平日,20260223,2
土日祝,20260223,1
平日,20260320,2
土日祝,20260320,1
火金,20251107,1
火金,20251111,1
火金,20251114,1
火金,20251118,1
火金,20251121,1
火金,20251125,1
火金,20251128,1
火金,20251202,1
火金,20251205,1
火金,20251209,1
火金,20251212,1
火金,20251216,1
火金,20251219,1
火金,20251223,1
火金,20251226,1
火金,20260106,1
火金,20260109,1
火金,20260113,1
火金,20260116,1
火金,20260120,1
火金,20260123,1
火金,20260127,1
火金,20260130,1
火金,20260203,1
火金,20260206,1
火金,20260210,1
火金,20260213,1
火金,20260217,1
火金,20260220,1
火金,20260224,1
火金,20260227,1
火金,20260303,1
火金,20260306,1
火金,20260310,1
火金,20260313,1
火金,20260317,1
火金,20260320,1
火金,20260324,1
火金,20260327,1
火金,20260331,1
月水木,20251110,1
月水木,20251112,1
月水木,20251113,1
月水木,20251117,1
月水木,20251119,1
月水木,20251120,1
月水木,20251126,1
月水木,20251127,1
月水木,20251201,1
月水木,20251203,1
月水木,20251204,1
月水木,20251208,1
月水木,20251210,1
月水木,20251211,1
月水木,20251215,1
月水木,20251217,1
月水木,20251218,1
月水木,20251222,1
月水木,20251224,1
月水木,20251225,1
月水木,20260105,1
月水木,20260107,1
月水木,20260108,1
月水木,20260114,1
月水木,20260115,1
月水木,20260119,1
月水木,20260121,1
月水木,20260122,1
月水木,20260126,1
月水木,20260128,1
月水木,20260129,1
月水木,20260202,1
月水木,20260204,1
月水木,20260205,1
月水木,20260209,1
月水木,20260212,1
月水木,20260216,1
月水木,20260218,1
月水木,20260219,1
月水木,20260223,1
月水木,20260225,1
月水木,20260226,1
月水木,20260302,1
月水木,20260304,1
月水木,20260305,1
月水木,20260309,1
月水木,20260311,1
月水木,20260312,1
月水木,20260316,1
月水木,20260318,1
月水木,20260319,1
月水木,20260323,1
月水木,20260325,1
月水木,20260326,1
月水木,20260330,1
