stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
mytown-0001_01,,日赤病院前,,39.686465,140.153166,mytown-0001_01,,0,,
mytown-0002_01,,中央シルバーエリア,,39.666077,140.155891,mytown-0002_01,,0,,
mytown-0003_03,3,イオンモール秋田,マイタウン・バス,39.6624453,140.1608441,mytown-0003_03,,0,3,
mytown-0004_01,,御所野小学校前,,39.66249,140.163152,mytown-0004_01,,0,,
mytown-0004_02,,御所野小学校前,,39.662502,140.163576,mytown-0004_02,,0,,
mytown-0005_01,,御所野,,39.660677,140.168625,mytown-0005_01,,0,,
mytown-0005_02,,御所野,,39.6607,140.168966,mytown-0005_02,,0,,
mytown-0006_01,,変電所前（河辺）,,39.654184,140.176662,mytown-0006_01,,0,,
mytown-0006_02,,変電所前（河辺）,,39.654201,140.176788,mytown-0006_02,,0,,
mytown-0007_01,,豊成,,39.645624,140.177608,mytown-0007_01,,0,,
mytown-0007_02,,豊成,,39.645652,140.177736,mytown-0007_02,,0,,
mytown-0008_01,,畑谷入口,,39.643168,140.181072,mytown-0008_01,,0,,
mytown-0008_02,,畑谷入口,,39.643296,140.181098,mytown-0008_02,,0,,
mytown-0009_01,,戸島下丁,,39.642679,140.190661,mytown-0009_01,,0,,
mytown-0009_02,,戸島下丁,,39.642763,140.190644,mytown-0009_02,,0,,
mytown-0010_01,,戸島中丁,,39.643307,140.194355,mytown-0010_01,,0,,
mytown-0010_02,,戸島中丁,,39.643364,140.194346,mytown-0010_02,,0,,
mytown-0011_01,,戸島小学校前,,39.643974,140.196251,mytown-0011_01,,0,,
mytown-0011_02,,戸島小学校前,,39.644025,140.196232,mytown-0011_02,,0,,
mytown-0012_01,,戸島上丁,,39.643239,140.198903,mytown-0012_01,,0,,
mytown-0012_02,,戸島上丁,,39.643289,140.198953,mytown-0012_02,,0,,
mytown-0013_01,,川原田下丁,,39.644524,140.20384,mytown-0013_01,,0,,
mytown-0013_02,,川原田下丁,,39.644609,140.203779,mytown-0013_02,,0,,
mytown-0014_01,,川原田上丁,,39.64481,140.204975,mytown-0014_01,,0,,
mytown-0014_02,,川原田上丁,,39.644863,140.20493,mytown-0014_02,,0,,
mytown-0015_01,,市営住宅前,,39.648433,140.209196,mytown-0015_01,,0,,
mytown-0015_02,,市営住宅前,,39.648514,140.209121,mytown-0015_02,,0,,
mytown-0016_01,,前田入口,,39.651853,140.211404,mytown-0016_01,,0,,
mytown-0016_02,,前田入口,,39.651934,140.211426,mytown-0016_02,,0,,
mytown-0017_01,,河辺市民サービスセンター前,,39.652082,140.21561,mytown-0017_01,,0,,
mytown-0017_02,,河辺市民サービスセンター前,,39.652132,140.21554,mytown-0017_02,,0,,
mytown-0018_01,,和田駅入口,,39.65238,140.217604,mytown-0018_01,,0,,
mytown-0018_02,,和田駅入口,,39.652382,140.217671,mytown-0018_02,,0,,
mytown-0019_01,,和田駅前,,39.650993,140.217843,mytown-0019_01,,0,,
mytown-0020_01,,和田下丁,,39.652214,140.219663,mytown-0020_01,,0,,
mytown-0020_02,,和田下丁,,39.65228,140.219679,mytown-0020_02,,0,,
mytown-0021_01,,柳原前,,39.652039,140.221185,mytown-0021_01,,0,,
mytown-0021_02,,柳原前,,39.652089,140.221235,mytown-0021_02,,0,,
mytown-0022_01,,和田上丁,,39.651905,140.22295,mytown-0022_01,,0,,
mytown-0022_02,,和田上丁,,39.651955,140.223,mytown-0022_02,,0,,
mytown-0023_01,,ふれあい広場入口,,39.652417,140.226067,mytown-0023_01,,0,,
mytown-0023_02,,ふれあい広場入口,,39.652553,140.226011,mytown-0023_02,,0,,
mytown-0024_01,,式田口入口,,39.652536,140.231027,mytown-0024_01,,0,,
mytown-0024_02,,式田口入口,,39.652436,140.230057,mytown-0024_02,,0,,
mytown-0025_01,,石川,,39.655938,140.237746,mytown-0025_01,,0,,
mytown-0025_02,,石川,,39.655925,140.237658,mytown-0025_02,,0,,
mytown-0026_01,,大部,,39.658662,140.239479,mytown-0026_01,,0,,
mytown-0026_02,,大部,,39.658682,140.239368,mytown-0026_02,,0,,
mytown-0027_01,,諸井下丁,,39.662351,140.242584,mytown-0027_01,,0,,
mytown-0027_02,,諸井下丁,,39.662411,140.242547,mytown-0027_02,,0,,
mytown-0028_01,,諸井上丁,,39.664402,140.24679,mytown-0028_01,,0,,
mytown-0028_02,,諸井上丁,,39.664455,140.246692,mytown-0028_02,,0,,
mytown-0029_01,,高岡（河辺）,,39.672042,140.249649,mytown-0029_01,,0,,
mytown-0029_02,,高岡（河辺）,,39.672327,140.249705,mytown-0029_02,,0,,
mytown-0030_01,,赤平,,39.675187,140.257835,mytown-0030_01,,0,,
mytown-0030_02,,赤平,,39.675231,140.257713,mytown-0030_02,,0,,
mytown-0031_01,,旧赤平小学校前,,39.677648,140.259676,mytown-0031_01,,0,,
mytown-0031_02,,旧赤平小学校前,,39.677644,140.259604,mytown-0031_02,,0,,
mytown-0032_01,,境田,,39.685808,140.264474,mytown-0032_01,,0,,
mytown-0032_02,,境田,,39.685846,140.264397,mytown-0032_02,,0,,
mytown-0033_01,,曽場,,39.690396,140.269181,mytown-0033_01,,0,,
mytown-0033_02,,曽場,,39.690425,140.269077,mytown-0033_02,,0,,
mytown-0034_01,,曽場上丁,,39.691467,140.270796,mytown-0034_01,,0,,
mytown-0034_02,,曽場上丁,,39.691535,140.270787,mytown-0034_02,,0,,
mytown-0035_01,,五郎谷地入口,,39.693824,140.274797,mytown-0035_01,,0,,
mytown-0035_02,,五郎谷地入口,,39.693997,140.274768,mytown-0035_02,,0,,
mytown-0036_01,,田尻,,39.697946,140.279492,mytown-0036_01,,0,,
mytown-0036_02,,田尻,,39.698005,140.2795,mytown-0036_02,,0,,
mytown-0037_01,,田尻上丁,,39.69938,140.282075,mytown-0037_01,,0,,
mytown-0037_02,,田尻上丁,,39.699431,140.281986,mytown-0037_02,,0,,
mytown-0038_01,,寺田,,39.704081,140.286389,mytown-0038_01,,0,,
mytown-0038_02,,寺田,,39.704108,140.286255,mytown-0038_02,,0,,
mytown-0039_01,,岩見三内,,39.708154,140.290264,mytown-0039_01,,0,,
mytown-0040_01,,岩見温泉,,39.707862,140.288784,mytown-0040_01,,0,,
mytown-0041_01,,御所野元町七丁目,,39.659766,140.161285,mytown-0041_01,,0,,
mytown-0041_02,,御所野元町七丁目,,39.659518,140.161548,mytown-0041_02,,0,,
mytown-0042_01,,末戸柳田,,39.654644,140.159808,mytown-0042_01,,0,,
mytown-0042_02,,末戸柳田,,39.654427,140.15961,mytown-0042_02,,0,,
mytown-0043_01,,末戸口,,39.651836,140.156942,mytown-0043_01,,0,,
mytown-0043_02,,末戸口,,39.651752,140.156861,mytown-0043_02,,0,,
mytown-0044_01,,四ツ小屋駅,マイタウン・バス,39.660408,140.144362,mytown-0044_01,,0,,
mytown-0045_01,,本田,,39.645556,140.154065,mytown-0045_01,,0,,
mytown-0045_02,,本田,,39.645545,140.154116,mytown-0045_02,,0,,
mytown-0046_01,,本田太田,,39.643382,140.154817,mytown-0046_01,,0,,
mytown-0046_02,,本田太田,,39.643396,140.154881,mytown-0046_02,,0,,
mytown-0047_01,,山崎,,39.64022,140.156786,mytown-0047_01,,0,,
mytown-0047_02,,山崎,,39.640713,140.156688,mytown-0047_02,,0,,
mytown-0048_01,,椿台ゴルフ場入口,,39.639687,140.159599,mytown-0048_01,,0,,
mytown-0048_02,,椿台ゴルフ場入口,,39.639701,140.159673,mytown-0048_02,,0,,
mytown-0049_01,,寺沢,,39.63693,140.160017,mytown-0049_01,,0,,
mytown-0049_02,,寺沢,,39.63698,140.160067,mytown-0049_02,,0,,
mytown-0050_01,,寺沢上,,39.633504,140.161952,mytown-0050_01,,0,,
mytown-0050_02,,寺沢上,,39.63352,140.162047,mytown-0050_02,,0,,
mytown-0051_01,,白鳥の丘入口,,39.62569,140.160387,mytown-0051_01,,0,,
mytown-0051_02,,白鳥の丘入口,,39.625596,140.160503,mytown-0051_02,,0,,
mytown-0052_01,,診療所前,,39.624401,140.159059,mytown-0052_01,,0,,
mytown-0052_02,,診療所前,,39.62432,140.159126,mytown-0052_02,,0,,
mytown-0053_01,,川添郵便局前,,39.623345,140.157873,mytown-0053_01,,0,,
mytown-0053_02,,川添郵便局前,,39.622976,140.157836,mytown-0053_02,,0,,
mytown-0054_01,,旧川添小学校前,,39.621602,140.156935,mytown-0054_01,,0,,
mytown-0054_02,,旧川添小学校前,,39.621569,140.15708,mytown-0054_02,,0,,
mytown-0055_01,,変電所前（雄和）,,39.61858,140.158582,mytown-0055_01,,0,,
mytown-0055_02,,変電所前（雄和）,,39.618646,140.158669,mytown-0055_02,,0,,
mytown-0056_01,,椿川,,39.614557,140.1575,mytown-0056_01,,0,,
mytown-0056_02,,椿川,,39.614355,140.157747,mytown-0056_02,,0,,
mytown-0057_01,,寺村口,,39.609509,140.159673,mytown-0057_01,,0,,
mytown-0057_02,,寺村口,,39.609416,140.159837,mytown-0057_02,,0,,
mytown-0058_01,,平沢下丁,,39.60415,140.161267,mytown-0058_01,,0,,
mytown-0058_02,,平沢下丁,,39.604431,140.161305,mytown-0058_02,,0,,
mytown-0059_01,,平沢,,39.601473,140.163186,mytown-0059_01,,0,,
mytown-0059_02,,平沢,,39.601758,140.163135,mytown-0059_02,,0,,
mytown-0060_01,,石田,,39.596997,140.166108,mytown-0060_01,,0,,
mytown-0060_02,,石田,,39.596894,140.166256,mytown-0060_02,,0,,
mytown-0061_01,,雄和市民サービスセンター前,,39.591357,140.168013,mytown-0061_01,,0,,
mytown-0061_02,,雄和市民サービスセンター前,,39.591455,140.16819,mytown-0061_02,,0,,
mytown-0062_01,,雄和市民サービスセンター,,39.59085,140.169816,mytown-0062_01,,0,,
mytown-0063_01,,水沢入口,,39.587776,140.166098,mytown-0063_01,,0,,
mytown-0063_02,,水沢入口,,39.587672,140.166219,mytown-0063_02,,0,,
mytown-0064_01,,相川入口,,39.584857,140.170078,mytown-0064_01,,0,,
mytown-0064_02,,相川入口,,39.585395,140.169376,mytown-0064_02,,0,,
mytown-0065_01,,相川下丁,,39.583327,140.175286,mytown-0065_01,,0,,
mytown-0065_02,,相川下丁,,39.583488,140.175445,mytown-0065_02,,0,,
mytown-0066_01,,相川中丁,,39.58245,140.177135,mytown-0066_01,,0,,
mytown-0066_02,,相川中丁,,39.582585,140.177261,mytown-0066_02,,0,,
mytown-0067_01,,相川上丁,,39.582111,140.182517,mytown-0067_01,,0,,
mytown-0067_02,,相川上丁,,39.582295,140.182583,mytown-0067_02,,0,,
mytown-0068_01,,相川坂の上,,39.579799,140.18503,mytown-0068_01,,0,,
mytown-0068_02,,相川坂の上,,39.579907,140.185173,mytown-0068_02,,0,,
