table_name,field_name,field_value,language,translation
stops,stop_name,日赤病院前,ja-Hrkt,にっせきびょういんまえ
stops,stop_name,日赤病院前,en,Nisseki Byoin-mae (Red Cross Hospital)
stops,stop_name,中央シルバーエリア,ja-Hrkt,ちゅうおうしるばーえりあ
stops,stop_name,中央シルバーエリア,en,Chuo Silver Area
stops,stop_name,イオンモール秋田,ja-Hrkt,いおんもーるあきた
stops,stop_name,イオンモール秋田,en,Aeon Mall Akita
stops,stop_name,御所野小学校前,ja-Hrkt,ごしょのしょうがっこうまえ
stops,stop_name,御所野小学校前,en,Goshono Shogakko-mae (Goshono Elementary School)
stops,stop_name,御所野,ja-Hrkt,ごしょの
stops,stop_name,御所野,en,Goshono
stops,stop_name,変電所前（河辺）,ja-Hrkt,へんでんしょまえ
stops,stop_name,変電所前（河辺）,en,Hedensho-mae (Kawabe)
stops,stop_name,豊成,ja-Hrkt,とよなり
stops,stop_name,豊成,en,Toyonari
stops,stop_name,畑谷入口,ja-Hrkt,はたやいりぐち
stops,stop_name,畑谷入口,en,Hataya-iriguchi
stops,stop_name,戸島下丁,ja-Hrkt,としましもちょう
stops,stop_name,戸島下丁,en,Toshima-shimocho
stops,stop_name,戸島中丁,ja-Hrkt,としまなかちょう
stops,stop_name,戸島中丁,en,Toshima-nakacho
stops,stop_name,戸島小学校前,ja-Hrkt,としましょうがっこうまえ
stops,stop_name,戸島小学校前,en,Toshima Shogakko-mae (Toshima Elementary School)
stops,stop_name,戸島上丁,ja-Hrkt,としまかみちょう
stops,stop_name,戸島上丁,en,Toshima-kamicho
stops,stop_name,川原田下丁,ja-Hrkt,かわらだしもちょう
stops,stop_name,川原田下丁,en,Kawarada-shimocho
stops,stop_name,川原田上丁,ja-Hrkt,かわらだかみちょう
stops,stop_name,川原田上丁,en,Kawarada-kamicho
stops,stop_name,市営住宅前,ja-Hrkt,しえいじゅうたくまえ
stops,stop_name,市営住宅前,en,Shiei Jutaku-mae
stops,stop_name,前田入口,ja-Hrkt,まえだいりぐち
stops,stop_name,前田入口,en,Maeda-iriguchi
stops,stop_name,河辺市民サービスセンター前,ja-Hrkt,かわべしみんさーびすせんたーまえ
stops,stop_name,河辺市民サービスセンター前,en,Kawabe Shimin Service Center-mae
stops,stop_name,和田駅入口,ja-Hrkt,わだえきいりぐち
stops,stop_name,和田駅入口,en,Wada Eki-iriguchi (Wada Sta.)
stops,stop_name,和田駅前,ja-Hrkt,わだえきまえ
stops,stop_name,和田駅前,en,Wada Ekimae
stops,stop_name,和田下丁,ja-Hrkt,わだしもちょう
stops,stop_name,和田下丁,en,Wada-shimocho
stops,stop_name,柳原前,ja-Hrkt,やなぎわらまえ
stops,stop_name,柳原前,en,Yanagiwara-mae
stops,stop_name,和田上丁,ja-Hrkt,わだかみちょう
stops,stop_name,和田上丁,en,Wada-kamicho
stops,stop_name,ふれあい広場入口,ja-Hrkt,ふれあいひろばいりぐち
stops,stop_name,ふれあい広場入口,en,Fureai Hiroba-iriguchi
stops,stop_name,式田口入口,ja-Hrkt,しきだぐちいりぐち
stops,stop_name,式田口入口,en,Shikidaguchi-iriguchi
stops,stop_name,石川,ja-Hrkt,いしかわ
stops,stop_name,石川,en,Ishikawa (Kawabe)
stops,stop_name,大部,ja-Hrkt,だいぶ
stops,stop_name,大部,en,Daibu
stops,stop_name,諸井下丁,ja-Hrkt,もろいしもちょう
stops,stop_name,諸井下丁,en,Moroi-shimocho
stops,stop_name,諸井上丁,ja-Hrkt,もろいかみちょう
stops,stop_name,諸井上丁,en,Moroi-kamicho
stops,stop_name,高岡（河辺）,ja-Hrkt,たかおか
stops,stop_name,高岡（河辺）,en,Takaoka (Kawabe)
stops,stop_name,赤平,ja-Hrkt,あかひら
stops,stop_name,赤平,en,Akahira
stops,stop_name,旧赤平小学校前,ja-Hrkt,きゅうあかひらしょうがっこうまえ
stops,stop_name,旧赤平小学校前,en,Kyu Akahira Shogakko-mae (Former Akahira Elementary School)
stops,stop_name,境田,ja-Hrkt,さかいだ
stops,stop_name,境田,en,Sakaida
stops,stop_name,曽場,ja-Hrkt,そうば
stops,stop_name,曽場,en,Souba
stops,stop_name,曽場上丁,ja-Hrkt,そうばかみちょう
stops,stop_name,曽場上丁,en,Souba-kamicho
stops,stop_name,五郎谷地入口,ja-Hrkt,ごろうやちいりぐち
stops,stop_name,五郎谷地入口,en,Goro-yachi-iriguchi
stops,stop_name,田尻,ja-Hrkt,たじり
stops,stop_name,田尻,en,Tajiri
stops,stop_name,田尻上丁,ja-Hrkt,たじりかみちょう
stops,stop_name,田尻上丁,en,Tajiri-kamicho
stops,stop_name,寺田,ja-Hrkt,てらだ
stops,stop_name,寺田,en,Terada
stops,stop_name,岩見三内,ja-Hrkt,いわみさんない
stops,stop_name,岩見三内,en,Iwami Sannai
stops,stop_name,岩見温泉,ja-Hrkt,いわみおんせん
stops,stop_name,岩見温泉,en,Iwami Onsen
stops,stop_name,御所野元町七丁目,ja-Hrkt,ごしょのもとまちななちょうめ
stops,stop_name,御所野元町七丁目,en,Goshono-motomachi-nanachome (Goshono-motomachi 7)
stops,stop_name,末戸柳田,ja-Hrkt,すえどやなぎだ
stops,stop_name,末戸柳田,en,Suedo Yanagida
stops,stop_name,末戸口,ja-Hrkt,すえどぐち
stops,stop_name,末戸口,en,Suedoguchi
stops,stop_name,四ツ小屋駅,ja-Hrkt,よつごやえき
stops,stop_name,四ツ小屋駅,en,Yotsugoya Eki (Yotsugoya Sta.)
stops,stop_name,本田,ja-Hrkt,ほんでん
stops,stop_name,本田,en,Honden
stops,stop_name,本田太田,ja-Hrkt,ほんでんおおた
stops,stop_name,本田太田,en,Honden Ota
stops,stop_name,山崎,ja-Hrkt,やまざき
stops,stop_name,山崎,en,Yamazaki
stops,stop_name,椿台ゴルフ場入口,ja-Hrkt,つばきだいごるふじょういりぐち
stops,stop_name,椿台ゴルフ場入口,en,Tsubakidai Golf Course-iriguchi
stops,stop_name,寺沢,ja-Hrkt,てらさわ
stops,stop_name,寺沢,en,Terasawa
stops,stop_name,寺沢上,ja-Hrkt,てらさわうえ
stops,stop_name,寺沢上,en,Terasawa-ue
stops,stop_name,白鳥の丘入口,ja-Hrkt,はくちょうのおかいりぐち
stops,stop_name,白鳥の丘入口,en,Hakucho-no-oka-iriguchi
stops,stop_name,診療所前,ja-Hrkt,しんりょうじょまえ
stops,stop_name,診療所前,en,Shinryojo-mae
stops,stop_name,川添郵便局前,ja-Hrkt,かわぞえゆうびんきょくまえ
stops,stop_name,川添郵便局前,en,Kawazoe Yubinkyoku-mae (Kawazoe Post Office)
stops,stop_name,旧川添小学校前,ja-Hrkt,きゅうかわぞえしょうがっこうまえ
stops,stop_name,旧川添小学校前,en,Kyu Kawazoe Shogakko-mae (Former Kawazoe Elementary School)
stops,stop_name,変電所前（雄和）,ja-Hrkt,へんでんしょまえ（ゆうわ）
stops,stop_name,変電所前（雄和）,en,Hendensho-mae (Yuwa)
stops,stop_name,椿川,ja-Hrkt,つばきがわ
stops,stop_name,椿川,en,Tsubakigawa
stops,stop_name,寺村口,ja-Hrkt,てらむらぐち
stops,stop_name,寺村口,en,Teramuraguchi
stops,stop_name,平沢下丁,ja-Hrkt,ひらさわしもちょう
stops,stop_name,平沢下丁,en,Hirasawa-shimocho
stops,stop_name,平沢,ja-Hrkt,ひらさわ
stops,stop_name,平沢,en,Hirasawa
stops,stop_name,石田,ja-Hrkt,いしだ
stops,stop_name,石田,en,Ishida
stops,stop_name,雄和市民サービスセンター前,ja-Hrkt,ゆうわしみんさーびすせんたーまえ
stops,stop_name,雄和市民サービスセンター前,en,Yuwa Shimin Service Center-mae
stops,stop_name,雄和市民サービスセンター,ja-Hrkt,ゆうわしみんさーびすせんたー
stops,stop_name,雄和市民サービスセンター,en,Yuwa Shimin Service Center
stops,stop_name,水沢入口,ja-Hrkt,みずさわいりぐち
stops,stop_name,水沢入口,en,Mizusawa-iriguchi
stops,stop_name,相川入口,ja-Hrkt,あいかわいりぐち
stops,stop_name,相川入口,en,Aikawa-iriguchi
stops,stop_name,相川下丁,ja-Hrkt,あいかわしもちょう
stops,stop_name,相川下丁,en,Aikawa-shimocho
stops,stop_name,相川中丁,ja-Hrkt,あいかわなかちょう
stops,stop_name,相川中丁,en,Aikawa-nakacho
stops,stop_name,相川上丁,ja-Hrkt,あいかわかみちょう
stops,stop_name,相川上丁,en,Aikawa-kamicho
stops,stop_name,相川坂の上,ja-Hrkt,あいかわさかのうえ
